float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6902803,2021-01-14T02:12:30,38.1357,4.8678,16.8,17.2,15.301,37.276,Western Mediterranean
6902804,2021-01-14T02:36:30,42.9431,6.7623,45.0,46.1,13.681,38.261,Western Mediterranean
6902767,2021-01-14T04:59:20,41.4293,9.7627,129.4,132.6,14.493,38.709,Tyrrhenian
6903234,2021-01-14T05:53:00,34.2967,30.8505,356.8,365.7,14.721,39.036,Eastern Mediterranean
6902904,2021-01-14T09:21:00,34.5955,26.1512,252.7,259.0,15.062,39.061,Eastern Mediterranean
6903016,2021-01-14T11:49:30,35.814,-3.5289,119.2,122.2,14.161,38.038,Western Mediterranean
6903016,2021-01-14T11:49:30,35.814,-3.5289,182.3,186.9,13.66,38.456,Western Mediterranean
6903065,2021-01-14T12:00:30,35.6735,-3.9209,,374.8,13.467,38.528,Western Mediterranean
6902945,2021-01-14T14:40:30,36.9494,19.3485,76.8,78.7,15.835,38.855,Western Mediterranean
6902718,2021-01-14T22:50:30,33.4286,26.2187,461.7,473.2,14.183,38.887,Eastern Mediterranean
6902870,2021-01-15T05:10:30,35.0944,16.8966,319.6,327.6,14.755,38.965,Western Mediterranean
6902873,2021-01-15T05:11:30,33.3616,23.1819,260.4,266.9,15.319,39.078,Eastern Mediterranean
6902902,2021-01-15T09:49:00,34.7419,30.1466,311.1,318.9,,39.028,Eastern Mediterranean
6903016,2021-01-15T11:52:30,35.8058,-3.4652,,411.2,13.454,38.568,Western Mediterranean
6903016,2021-01-15T11:52:30,35.8058,-3.4652,438.6,449.6,13.43,,Western Mediterranean
6902937,2021-01-16T02:05:30,41.6289,5.2554,46.3,47.5,13.163,38.428,Western Mediterranean
6902850,2021-01-16T02:51:30,42.7363,5.7452,74.7,76.6,14.02,38.09,Western Mediterranean
3901975,2021-01-16T05:48:00,38.3148,5.423,356.6,365.5,13.927,38.675,Western Mediterranean
6902898,2021-01-16T09:35:00,34.352,28.962,358.0,366.9,14.312,38.916,Eastern Mediterranean
